id,department_id,slug,name
8915,55,autechaux-roide,Autechaux-roide
9946,57,perriers-sur-andelle,Perriers-sur-andelle
3237,40,fontaine-10,Fontaine
35102,118,circourt-sur-mouzon,Circourt-sur-mouzon
17958,78,fontans,Fontans
28980,101,montret,Montret
28709,100,rosiere,La rosiere
32493,110,loeuilly,Loeuilly
2079,36,villars-sur-var,Villars-sur-var
16699,74,ferce,Ferce
28454,100,igny-70,Igny
2943,39,ignaux,Ignaux
9965,57,saint-germain-sur-avre,Saint-germain-sur-avre
27049,96,ur,Ur
18050,79,rou-marson,Rou-marson
36162,125,aincourt,Aincourt
143,31,thezillieu,Thezillieu
28946,101,dracy-saint-loup,Dracy-saint-loup
15103,69,saugeot,Saugeot
36183,125,plessis-gassot,Le plessis-gassot
13919,66,meobecq,Meobecq
30643,106,mannevillette,Mannevillette
32859,110,arguel-80,Arguel
4245,42,flavin,Flavin
21150,85,rancourt-sur-ornain,Rancourt-sur-ornain
15389,69,bois-de-gand,Bois-de-gand
4581,44,bernesq,Bernesq
18694,80,valcanville,Valcanville
278,31,germagnat,Germagnat
11538,61,gragnague,Gragnague
6842,49,saint-hilaire-taurieux,Saint-hilaire-taurieux
28646,100,villers-vaudey,Villers-vaudey
6109,47,saint-genis-de-saintonge,Saint-genis-de-saintonge
2884,38,sy,Sy
28067,99,eveux,Eveux
34050,115,montournais,Montournais
8983,55,sancey-le-grand,Sancey-le-grand
19595,81,saint-pierre-51,Saint-pierre
18302,79,chenille-change,Chenille-change
18358,79,querre,Querre
1499,33,saint-marcel-en-marcillat,Saint-marcel-en-marcillat
27839,98,steinbach,Steinbach
13622,65,pire-sur-seiche,Pire-sur-seiche
10848,58,dammarie,Dammarie
8788,54,saint-pierre-d-eyraud,Saint-pierre-d'eyraud
19272,81,possesse,Possesse
33458,112,marsac-82,Marsac
27622,97,griesheim-pres-molsheim,Griesheim-pres-molsheim
31990,109,fomperron,Fomperron
19783,82,mardor,Mardor
28512,100,anchenoncourt-et-chazel,Anchenoncourt-et-chazel
9321,55,trouvans,Trouvans
3290,40,fresnoy-le-chateau,Fresnoy-le-chateau
4516,43,ventabren,Ventabren
15971,71,chaon,Chaon
31170,106,cleuville,Cleuville
11349,60,pouzilhac,Pouzilhac
6409,48,argenvieres,Argenvieres
31427,107,boisdon,Boisdon
36346,5974,castiglione,Castiglione
10282,57,bacquepuis,Bacquepuis
7036,51,jours-en-vaux,Jours-en-vaux
4031,41,ouveillan,Ouveillan
36344,5974,prato-di-giovellina,Prato-di-giovellina
31536,107,favieres-77,Favieres
29245,101,bussieres-71,Bussieres
25515,93,murat-le-quaire,Murat-le-quaire
4732,44,caumont-sur-orne,Caumont-sur-orne
15332,69,saint-lamain,Saint-lamain
13800,65,saint-marc-le-blanc,Saint-marc-le-blanc
1046,32,mennessis,Mennessis
16176,72,saint-marcel-d-urfe,Saint-marcel-d'urfe
13779,65,dol-de-bretagne,Dol-de-bretagne
29739,102,thorigne-sur-due,Thorigne-sur-due
8332,54,saint-vincent-jalmoutiers,Saint-vincent-jalmoutiers
29411,101,morey,Morey
21200,85,mogeville,Mogeville
26131,94,cabidos,Cabidos
32615,110,voyennes,Voyennes
36163,125,avernes,Avernes
26716,95,villenave-pres-bearn,Villenave-pres-bearn
23012,89,merville-59,Merville
28068,99,arnas,Arnas
23509,90,conteville-60,Conteville
23625,90,ansacq,Ansacq
19602,82,loges-52,Les loges
3582,40,villemaur-sur-vanne,Villemaur-sur-vanne
5938,47,saint-xandre,Saint-xandre
11294,60,corbes,Corbes
26715,95,cabanac,Cabanac
3913,41,duilhac-sous-peyrepertuse,Duilhac-sous-peyrepertuse
10728,58,nogent-le-roi,Nogent-le-roi
14322,67,saint-flovier,Saint-flovier
29572,102,maresche,Maresche
32378,110,cizancourt,Cizancourt
13021,63,saint-aignan-33,Saint-aignan
10000,57,gueroulde,La gueroulde
21716,87,argancy,Argancy
29258,101,puley,Le puley
20438,84,rouves,Rouves
28061,99,sathonay-village,Sathonay-village
1374,33,vernet-03,Le vernet
19447,81,reuves,Reuves
21968,87,fameck,Fameck
3921,41,puilaurens,Puilaurens
